A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
2492	2149	2437	608.1408	524.337	594.71844	1
2519	2126	2434	614.7328	518.6841	593.93585	1
2533	2170	2395	617.9938	529.5657	584.4874	1
2551	2154	2412	622.53925	525.54504	588.5169	1
2505	2131	2427	611.1194	520.0242	592.20575	1
2514	2127	2431	613.37006	518.9814	593.0566	1
2508	2118	2442	611.9816	516.76434	595.883	1
2500	2106	2453	610.0742	513.8915	598.50714	1
2540	2126	2392	619.6575	518.8496	583.5825	1
2560	2186	2404	624.5509	533.2989	586.5478	1
2494	2178	2363	608.53723	531.5432	576.5969	1
2531	2152	2380	617.4871	525.02295	580.68317	1
2539	2123	2391	619.48456	518.07605	583.3439	1
2542	2096	2447	620.1576	511.50986	597.1353	1
2514	2162	2381	613.47864	527.59955	580.8548	1
2527	2167	2357	616.6319	528.7954	575.2241	1
2563	2186	2422	625.4062	533.4111	590.9208	1
2522	2146	2409	615.38824	523.5218	587.7093	1
2554	2132	2380	623.1814	520.17267	580.62	1
2533	2136	2408	617.94226	521.2731	587.65344	1
2523	2131	2408	615.57477	519.9201	587.5893	1
2522	2122	2361	615.3929	517.67145	576.0667	1
2547	2146	2375	621.5681	523.7309	579.40924	1
2581	2185	2403	629.84674	533.0483	586.3531	1
2530	2160	2390	617.34503	527.01514	583.21094	1
2549	2123	2421	622.02734	517.9356	590.79724	1
2558	2126	2426	624.2155	518.80786	591.9716	1
2535	2111	2408	618.61334	515.0067	587.61346	1
2552	2158	2404	622.7038	526.44086	586.4599	1
2523	2232	2416	615.5888	544.7126	589.4065	1
2549	2155	2436	621.85864	525.9272	594.3693	1
2575	2114	2435	628.25665	515.88464	594.0729	1
2545	2103	2394	621.0159	513.14655	584.1056	1
2555	2131	2379	623.4747	519.9194	580.4969	1
2535	2189	2383	618.6319	534.0792	581.49066	1
2549	2184	2434	622.01886	532.9167	593.882	1
2567	2174	2430	626.358	530.4174	592.9018	1
2539	2135	2431	619.4337	520.8832	593.2438	1
2524	2151	2391	615.7453	524.7958	583.5257	1
2538	2129	2405	619.3796	519.515	586.9271	1
2520	2135	2445	614.99774	521.05634	596.6629	1
2514	2126	2440	613.47546	518.7669	595.3966	1
2543	2170	2418	620.5206	529.51715	590.0966	1
2526	2157	2417	616.4255	526.1928	589.70624	1
2484	2140	2416	606.07007	522.16254	589.413	1
2555	2138	2424	623.4981	521.6957	591.5652	1
2520	2133	2402	614.98865	520.4278	586.20184	1
2525	2133	2410	616.1988	520.4619	588.066	1
2530	2176	2439	617.4281	530.93414	595.17163	1
2505	2186	2411	611.3051	533.3621	588.3201	1
2558	2176	2423	624.2419	531.0516	591.2923	1
2492	2131	2411	608.10675	520.0561	588.24286	1
2523	2084	2429	615.5429	508.5275	592.6556	1
2540	2147	2407	619.7508	523.9317	587.33276	1
2479	2148	2422	604.93634	524.172	591.08655	1
2530	2168	2425	617.3175	528.8774	591.6672	1
2510	2125	2441	612.41504	518.58167	595.724	1
2505	2129	2388	611.33105	519.5682	582.78033	1
2493	2119	2403	608.38104	516.96014	586.39703	1
2491	2140	2441	607.82477	522.1791	595.57544	1
2503	2106	2466	610.72797	513.74274	601.6244	1
2495	2127	2444	608.73596	518.9665	596.25226	1
2512	2136	2403	612.9631	521.1948	586.3632	1
2508	2134	2419	612.0558	520.7818	590.1571	1
2510	2152	2442	612.5223	525.03827	595.7855	1
2494	2113	2438	608.54376	515.47156	594.8166	1
2490	2111	2469	607.6718	515.1204	602.4642	1
2485	2130	2466	606.4447	519.77374	601.7532	1
2498	2138	2463	609.52344	521.6074	601.0759	1
2499	2166	2467	609.7595	528.4227	601.9609	1
2508	2145	2412	611.9852	523.43427	588.516	1
2520	2152	2477	614.79193	524.96893	604.3733	1
2484	2089	2436	606.0309	509.77756	594.375	1
2486	2093	2456	606.65497	510.62332	599.3524	1
2495	2179	2436	608.76	531.72675	594.36597	1
2482	2145	2423	605.6084	523.2614	591.2344	1
2495	2132	2474	608.7305	520.1901	603.5932	1
2498	2129	2460	609.4055	519.5872	600.28345	1
2503	2136	2439	610.70105	521.1592	595.1626	1
2474	2159	2445	603.5788	526.8412	596.58606	1
2493	2108	2444	608.3881	514.3175	596.3895	1
2485	2118	2450	606.23895	516.8878	597.7473	1
2508	2145	2461	611.999	523.4579	600.39105	1
2469	2118	2443	602.4854	516.7892	596.18823	1
2528	2148	2427	616.93146	524.04803	592.2072	1
2502	2113	2451	610.5766	515.5627	598.071	1
2511	2131	2424	612.72345	520.04114	591.4403	1
2491	2127	2456	607.8266	518.8836	599.26776	1
2495	2119	2427	608.7644	517.0711	592.09436	1
2450	2133	2442	597.8809	520.4883	595.8655	1
2491	2162	2481	607.88074	527.4458	605.34656	1
2492	2158	2469	607.96625	526.4795	602.55774	1
2470	2062	2464	602.78674	503.0674	601.29254	1
2479	2112	2484	604.8467	515.2464	605.98566	1
2458	2150	2458	599.7467	524.57623	599.87006	1
2480	2174	2440	605.2203	530.4468	595.38245	1
2487	2112	2474	606.7367	515.40936	603.77423	1
2487	2120	2484	606.9269	517.31244	605.9815	1
2488	2101	2431	607.0326	512.6703	593.0537	1
2476	2141	2466	604.2378	522.29877	601.61945	1
2493	2125	2491	608.227	518.5089	607.877	1
2471	2111	2474	603.01013	515.07153	603.6971	1
2478	2135	2478	604.5196	521.04486	604.5539	1
2508	2129	2429	611.8343	519.49774	592.71344	1
2480	2124	2421	605.0743	518.3161	590.81714	1
2446	2126	2428	596.82214	518.6659	592.5188	1
2502	2120	2467	610.4817	517.22144	601.98883	1
2484	2160	2483	606.14655	526.9816	605.7549	1
2475	2102	2479	603.93396	512.9931	604.8246	1
2494	2146	2427	608.4879	523.695	592.1401	1
2498	2147	2472	609.5687	523.8916	603.19696	1
