A_X [LSB]	A_Y [LSB]	A_Z [LSB]	A_X [mg]	A_Y [mg]	A_Z [mg]	LABEL_0
-3773	2883	2008	-920.6908	703.5423	490.04718	4
-4589	2093	2539	-1119.6566	510.7294	619.5862	4
-5150	2024	2548	-1256.6427	493.86966	621.70294	4
-4718	882	2076	-1151.1309	215.09789	506.5075	4
-4425	570	1548	-1079.7383	138.95802	377.8323	4
-4277	-17	1447	-1043.6218	-4.192618	353.11163	4
-3704	436	1034	-903.775	106.49731	252.18272	4
-3852	1023	780	-939.81915	249.7339	190.41954	4
-4061	1765	490	-990.90625	430.62387	119.58369	4
-3696	1911	418	-901.7201	466.34293	101.89475	4
-3707	1641	337	-904.46466	400.47195	82.24956	4
-3336	1244	288	-814.0237	303.41995	70.39136	4
-3094	1176	255	-754.8672	286.97375	62.31672	4
-2730	1317	440	-666.0488	321.46805	107.27096	4
-2483	1570	567	-605.7778	383.075	138.37946	4
-2301	1716	693	-561.4272	418.72736	169.21112	4
-2457	1776	890	-599.49646	433.3072	217.16553	4
-2256	1558	923	-550.3507	380.19357	225.17354	4
-2082	1224	729	-507.98154	298.56958	177.85988	4
-2131	1105	732	-520.0013	269.61426	178.51755	4
-2698	1358	733	-658.387	331.23483	178.89656	4
-2833	1009	924	-691.2078	246.30457	225.43112	4
-3715	2221	1387	-906.34937	542.0428	338.46936	4
-3752	2812	1335	-915.4576	686.1033	325.6652	4
-3342	2742	1254	-815.40234	669.0134	305.959	4
-3768	2609	1348	-919.3425	636.52045	328.87112	4
-5958	2329	1573	-1453.8583	568.28253	383.83426	4
-7485	2292	2402	-1826.4277	559.2283	586.1215	4
-5559	2274	2793	-1356.5038	554.9669	681.51184	4
-4817	2287	2085	-1175.4697	558.0147	508.84155	4
-4398	1475	1846	-1073.132	359.81253	450.41962	4
-3505	919	1473	-855.2305	224.31343	359.34787	4
-2476	1197	1212	-604.1902	291.97958	295.81528	4
-1857	1693	946	-453.11026	413.00174	230.90732	4
-1719	1929	1016	-419.48663	470.6751	247.94615	4
-1745	1913	1237	-425.8691	466.80716	301.83206	4
-1818	1728	1346	-443.49026	421.51636	328.50677	4
-2429	1816	1513	-592.6966	443.11035	369.2139	4
-3222	1898	1569	-786.1175	463.02774	382.80035	4
-3517	1547	1317	-858.15515	377.4302	321.34784	4
-3371	1182	1233	-822.5349	288.45184	300.89438	4
-3494	1215	1366	-852.5481	296.57596	333.24573	4
-4837	1545	1305	-1180.3119	376.98636	318.5152	4
-6362	1832	1416	-1552.3167	446.91452	345.51642	4
-5948	1608	1442	-1451.1974	392.24768	351.91165	4
-6099	1279	1158	-1488.2661	311.98938	282.5434	4
-5754	1013	942	-1404.054	247.06004	229.95508	4
-4531	1268	986	-1105.6428	309.3483	240.63129	4
-3379	1595	1036	-824.52893	389.2871	252.85683	4
-2503	1871	967	-610.6224	456.63477	236.06323	4
-1907	1898	1031	-465.2701	463.01624	251.51154	4
-1690	1704	965	-412.2932	415.8124	235.42136	4
-1522	1326	855	-371.40662	323.46512	208.66815	4
-1530	979	579	-373.3969	238.82126	141.17421	4
-2188	1036	608	-533.82904	252.81183	148.37514	4
-2577	1453	664	-628.89276	354.5651	161.91267	4
-3195	1546	927	-779.6025	377.27512	226.12352	4
-3838	1491	1195	-936.4843	363.70682	291.5212	4
-4761	1740	1288	-1161.7803	424.5452	314.32538	4
-6074	2415	1746	-1482.0721	589.32635	426.04974	4
-6914	3287	2742	-1687.0057	801.92633	668.97144	4
-5737	3215	3212	-1399.9005	784.39734	783.63544	4
-4444	2289	2390	-1084.3562	558.5479	583.11914	4
-4749	1986	2012	-1158.741	484.62338	490.95395	4
-4132	1192	1656	-1008.2221	290.88297	403.98788	4
-2963	851	1170	-722.9923	207.58058	285.43097	4
-2133	1174	1033	-520.42456	286.54736	252.0698	4
-2126	1520	1089	-518.82135	370.94647	265.6445	4
-2106	1680	1209	-513.7573	409.93768	295.10742	4
-2038	1664	1144	-497.2476	405.97797	279.04962	4
-2058	1549	1062	-502.2671	377.9643	259.03558	4
-2298	1379	1009	-560.7845	336.54456	246.10559	4
-2586	1137	953	-630.9969	277.38223	232.57501	4
-2916	1015	902	-711.5693	247.5808	220.12775	4
-3216	898	979	-784.69806	218.99934	238.7647	4
-4419	913	977	-1078.2456	222.67801	238.26831	4
-5747	1155	1180	-1402.2716	281.7294	287.94727	4
-6548	1621	1431	-1597.772	395.58716	349.23975	4
-6600	1763	1483	-1610.2883	430.14215	361.92166	4
-6049	1442	1285	-1476.062	351.80746	313.62326	4
-5314	1370	1387	-1296.5756	334.29742	338.33716	4
-4250	1334	1444	-1037.0735	325.46976	352.27667	4
-3335	1322	1220	-813.6434	322.62897	297.69537	4
-2804	1247	953	-684.18005	304.2206	232.5774	4
-2349	1283	836	-573.1607	313.12222	203.9346	4
-2001	1432	822	-488.19672	349.34155	200.6773	4
-1810	1516	827	-441.61307	369.8942	201.6751	4
-2093	1495	650	-510.80194	364.81815	158.64992	4
-2208	1472	509	-538.82556	359.07233	124.23247	4
-2629	1538	685	-641.5661	375.2646	167.18024	4
-2988	1547	996	-729.18774	377.4379	243.07674	4
-3682	1664	858	-898.3357	406.12778	209.45485	4
-5365	2755	1389	-1309.081	672.2211	338.97437	4
-6913	3407	2006	-1686.8455	831.3452	489.46225	4
-6831	4124	3415	-1666.6967	1006.3032	833.1741	4
-5273	2659	3369	-1286.5236	648.8115	822.09186	4
-5096	2055	2518	-1243.5212	501.30258	614.4705	4
-5008	1248	1931	-1221.8824	304.5501	471.07867	4
-3624	508	1275	-884.2986	123.92654	311.21497	4
-2499	722	1204	-609.839	176.20651	293.84518	4
-2085	654	1109	-508.67343	159.58858	270.6252	4
-1694	825	876	-413.2719	201.21121	213.7421	4
-1333	974	598	-325.36008	237.59015	145.89255	4
-1618	1276	498	-394.82388	311.30493	121.59215	4
-2059	1210	393	-502.46823	295.21024	95.88111	4
-2770	1027	397	-675.78357	250.50159	96.97973	4
-3604	1026	631	-879.27325	250.40445	153.96626	4
-4808	1255	926	-1173.1353	306.1199	225.97237	4
-5910	1841	1201	-1441.9943	449.28018	293.1209	4
-5617	2092	1494	-1370.5616	510.5555	364.45676	4
-5185	1522	1488	-1265.2344	371.37488	363.1334	4
-5466	1196	1328	-1333.7145	291.76544	323.93463	4
-5358	1358	1747	-1307.4343	331.45444	426.1475	4
-4598	1975	1958	-1121.9088	481.9903	477.6618	4
-3665	2234	1454	-894.1401	544.99567	354.65717	4
-2706	1637	1080	-660.3299	399.3218	263.53445	4
-2640	998	784	-644.197	243.5708	191.33522	4
-3310	1166	568	-807.541	284.44946	138.52379	4
-2934	1344	449	-715.79395	327.8439	109.463356	4
-2114	1508	339	-515.757	367.98358	82.729225	4
-2134	1791	84	-520.7039	437.023	20.538519	4
-3362	2179	-112	-820.3228	531.7175	-27.399044	4
-6228	3560	670	-1519.5648	868.55566	163.50966	4
-7594	4383	2203	-1852.8644	1069.4094	537.64136	4
-4997	3862	3336	-1219.3746	942.3894	814.0061	4
-2972	2760	3264	-725.07007	673.396	796.29987	4
-2742	2046	2472	-669.1581	499.32062	603.2794	4
-2952	1415	1533	-720.40326	345.35776	374.01617	4
-3066	728	1736	-748.0939	177.74323	423.64865	4
-2555	686	1733	-623.4629	167.27467	422.73007	4
-2244	323	1635	-547.5364	78.92865	398.89066	4
-2787	1062	1684	-679.9697	259.08096	410.98584	4
